icd_code,icd_chapter
V252,(Z00-Z99)
V2549,(Z00-Z99)
V2622,(Z00-Z99)
V4366,(Z00-Z99)
V462,(Z00-Z99)
V5309,(Z00-Z99)
V5873,(Z00-Z99)
V6105,(Z00-Z99)
V6129,(Z00-Z99)
V629,(Z00-Z99)
V6540,(Z00-Z99)
V755,(Z00-Z99)
V791,(Z00-Z99)
V581,(Z00-Z99)
0048,(A00-B99)
0060,(A00-B99)
01116,(A00-B99)
01120,(A00-B99)
01174,(A00-B99)
01350,(A00-B99)
01500,(A00-B99)
01566,(A00-B99)
01622,(A00-B99)
01623,(A00-B99)
01770,(A00-B99)
04182,(A00-B99)
05102,(A00-B99)
0652,(A00-B99)
06642,(A00-B99)
07021,(A00-B99)
0739,(A00-B99)
08881,(A00-B99)
09151,(A00-B99)
09389,(A00-B99)
09487,(A00-B99)
1020,(A00-B99)
1028,(A00-B99)
11514,(A00-B99)
1348,(A00-B99)
1538,(C00-D49)
1706,(C00-D49)
1721,(C00-D49)
17392,(C00-D49)
1839,(C00-D49)
20077,(C00-D49)
20104,(C00-D49)
20140,(C00-D49)
20273,(C00-D49)
20410,(C00-D49)
2150,(C00-D49)
2198,(C00-D49)
2248,(C00-D49)
2249,(C00-D49)
2308,(C00-D49)
2330,(C00-D49)
2440,(E00-E89)
25083,(E00-E89)
25090,(E00-E89)
2532,(E00-E89)
2652,(E00-E89)
2700,(E00-E89)
2723,(E00-E89)
2725,(E00-E89)
27419,(E00-E89)
27651,(E00-E89)
27800,(E00-E89)
28246,(D50-D89)
2866,(D50-D89)
28861,(D50-D89)
29212,(F01-F99)
29531,(F01-F99)
29535,(F01-F99)
29636,(F01-F99)
29663,(F01-F99)
30159,(F01-F99)
30493,(F01-F99)
3142,(F01-F99)
317,(F01-F99)
3218,(G00-G99)
32301,(G00-G99)
32715,(G00-G99)
3278,(G00-G99)
33700,(G00-G99)
33900,(G00-G99)
33985,(G00-G99)
3431,(G00-G99)
3564,(G00-G99)
36041,(G00-G99)
36573,(G00-G99)
36810,(G00-G99)
36812,(G00-G99)
37003,(G00-G99)
37064,(G00-G99)
37103,(G00-G99)
37104,(G00-G99)
37120,(G00-G99)
37121,(G00-G99)
37130,(G00-G99)
37213,(G00-G99)
37334,(G00-G99)
37433,(G00-G99)
37644,(G00-G99)
37652,(G00-G99)
37771,(G00-G99)
37772,(G00-G99)
38129,(G00-G99)
390,(I00-I99)
393,(I00-I99)
40412,(I00-I99)
42610,(I00-I99)
42761,(I00-I99)
43830,(I00-I99)
43889,(I00-I99)
4571,(I00-I99)
4658,(J00-J99)
4660,(J00-J99)
4711,(J00-J99)
47821,(J00-J99)
49382,(J00-J99)
515,(J00-J99)
52105,(K00-K95)
52112,(K00-K95)
52125,(K00-K95)
52310,(K00-K95)
52407,(K00-K95)
5278,(K00-K95)
53082,(K00-K95)
53501,(K00-K95)
5362,(K00-K95)
55003,(K00-K95)
5528,(K00-K95)
55329,(K00-K95)
5651,(K00-K95)
5942,(N00-N99)
6019,(N00-N99)
6022,(N00-N99)
60490,(N00-N99)
6100,(N00-N99)
63601,(O00-O9A)
6395,(O00-O9A)
64291,(O00-O9A)
64294,(O00-O9A)
64421,(O00-O9A)
64654,(O00-O9A)
64683,(O00-O9A)
65161,(O00-O9A)
65223,(O00-O9A)
65531,(O00-O9A)
65953,(O00-O9A)
66451,(O00-O9A)
66594,(O00-O9A)
66632,(O00-O9A)
67002,(O00-O9A)
67080,(O00-O9A)
67101,(O00-O9A)
67202,(O00-O9A)
67333,(O00-O9A)
67451,(O00-O9A)
67492,(O00-O9A)
67523,(O00-O9A)
67620,(O00-O9A)
6941,(L00-L99)
7030,(L00-L99)
7093,(L00-L99)
7104,(M00-M99)
71137,(M00-M99)
71138,(M00-M99)
71287,(M00-M99)
71520,(M00-M99)
71533,(M00-M99)
71821,(M00-M99)
71822,(M00-M99)
71854,(M00-M99)
71855,(M00-M99)
71946,(M00-M99)
72705,(M00-M99)
73016,(M00-M99)
73020,(M00-M99)
73300,(M00-M99)
734,(M00-M99)
73620,(M00-M99)
74365,(Q00-Q99)
74402,(Q00-Q99)
74732,(Q00-Q99)
74741,(Q00-Q99)
7479,(Q00-Q99)
74860,(Q00-Q99)
75011,(Q00-Q99)
75023,(Q00-Q99)
75243,(Q00-Q99)
75671,(Q00-Q99)
76072,(P00-P96)
7612,(P00-P96)
76525,(P00-P96)
78071,(R00-R99)
7808,(R00-R99)
